date,time,ct,doubling,var,days
2020-02-18,1,1,0,Shincheonji,1
2020-02-19,2,9,0.315464876785729,Shincheonji,1
2020-02-20,3,26,0.653374965356057,Shincheonji,1
2020-02-21,4,63,0.783183358264455,Shincheonji,1
2020-02-22,5,129,0.967167252262077,Shincheonji,1
2020-02-23,6,237,1.13958036940153,Shincheonji,1
2020-02-24,7,376,1.50184967179447,Shincheonji,1
2020-02-25,8,407,8.74920242139196,Shincheonji,1
2020-02-26,9,501,3.33575944308538,Shincheonji,1
2020-02-27,10,682,2.2473872872897,Shincheonji,1
2020-02-28,11,962,2.01505181340424,Shincheonji,1
2020-02-29,12,1356,2.01918883869859,Shincheonji,1
2020-03-01,13,1870,2.15665468795802,Shincheonji,1
2020-03-02,14,2152,4.93486453104836,Shincheonji,1
2020-03-03,15,2339,8.31851363815827,Shincheonji,1
2020-03-04,16,2576,7.18180655433433,Shincheonji,1
2020-03-05,17,2897,5.90224380987874,Shincheonji,1
2020-03-06,18,3264,5.81120422450961,Shincheonji,1
2020-03-07,19,3583,7.43345278115141,Shincheonji,1
2020-03-08,20,3749,15.3050802798309,Shincheonji,1
2020-02-18,1,0,0,Non-Shincheonji,1
2020-02-19,2,2,0,Non-Shincheonji,1
2020-02-20,3,8,0.5,Non-Shincheonji,1
2020-02-21,4,16,1,Non-Shincheonji,1
2020-02-22,5,20,3.10628371950539,Non-Shincheonji,1
2020-02-23,6,60,0.630929753571457,Non-Shincheonji,1
2020-02-24,7,66,7.27254089734171,Non-Shincheonji,1
2020-02-25,8,92,2.08695142580927,Non-Shincheonji,1
2020-02-26,9,176,1.06852485980035,Non-Shincheonji,1
2020-02-27,10,336,1.07194256313108,Non-Shincheonji,1
2020-02-28,11,352,14.8999773774805,Non-Shincheonji,1
2020-02-29,12,699,1.01038981141484,Non-Shincheonji,1
2020-03-01,13,706,69.5616950496171,Non-Shincheonji,1
2020-03-02,14,936,2.45796664235597,Non-Shincheonji,1
2020-03-03,15,1269,2.27732522207127,Non-Shincheonji,1
2020-03-04,16,1437,5.57513068755564,Non-Shincheonji,1
2020-03-05,17,1546,9.48044709037624,Non-Shincheonji,1
2020-03-06,18,1563,63.3815619649519,Non-Shincheonji,1
2020-03-07,19,1634,15.6030082556557,Non-Shincheonji,1
